timestamp,search_type,split,model,config_id,fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,scam_recall,nonscam_recall,before_smote,after_smote,time_sec
2026-06-08 14:33:54,random_search,70/15/15,RandomForest,7,3,0.9202,0.9215,0.9202,0.9204,0.9188,0.9218,0.9198,0.9374,0.9061,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",59.89
2026-06-08 14:36:28,random_search,70/15/15,RandomForest,8,1,0.9609,0.9609,0.9609,0.9609,0.9605,0.9606,0.9605,0.9574,0.9638,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",69.6
2026-06-08 14:37:43,random_search,70/15/15,RandomForest,8,2,0.9605,0.9605,0.9605,0.9605,0.9607,0.9596,0.9601,0.9501,0.9691,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",75.07
2026-06-08 14:39:10,random_search,70/15/15,RandomForest,8,3,0.9615,0.9614,0.9615,0.9614,0.9612,0.961,0.9611,0.9559,0.9661,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",87.07
2026-06-08 14:46:36,random_search,70/15/15,SVM,1,1,0.9214,0.922,0.9214,0.9215,0.9201,0.9221,0.9209,0.9292,0.9151,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",325.08
2026-06-08 14:52:09,random_search,70/15/15,SVM,1,2,0.9251,0.9255,0.9251,0.9252,0.9239,0.9255,0.9246,0.9291,0.9219,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",333.43
2026-06-08 14:57:30,random_search,70/15/15,SVM,1,3,0.9286,0.929,0.9286,0.9287,0.9273,0.9292,0.9281,0.935,0.9233,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",321.03
2026-06-08 15:15:54,random_search,70/15/15,SVM,2,1,0.9377,0.938,0.9377,0.9377,0.9365,0.9381,0.9372,0.9426,0.9337,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",527.63
2026-06-08 15:24:59,random_search,70/15/15,SVM,2,2,0.9401,0.9402,0.9401,0.9401,0.9392,0.94,0.9396,0.9388,0.9411,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",544.81
2026-06-08 15:35:19,random_search,70/15/15,SVM,2,3,0.9425,0.9427,0.9425,0.9425,0.9415,0.9426,0.942,0.9437,0.9415,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",620.03
2026-06-08 16:06:01,random_search,70/15/15,SVM,3,1,0.9378,0.9381,0.9378,0.9379,0.9367,0.9381,0.9373,0.9418,0.9345,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",647.63
2026-06-08 16:15:57,random_search,70/15/15,SVM,3,2,0.9391,0.9392,0.9391,0.9391,0.9382,0.939,0.9385,0.938,0.9399,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",596.11
2026-06-08 16:26:02,random_search,70/15/15,SVM,3,3,0.9404,0.9406,0.9404,0.9404,0.9393,0.9406,0.9399,0.9433,0.9379,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",605.39
2026-06-08 16:51:38,random_search,70/15/15,SVM,4,1,0.9326,0.933,0.9326,0.9326,0.9313,0.9332,0.9321,0.9399,0.9266,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",433.96
2026-06-08 16:58:40,random_search,70/15/15,SVM,4,2,0.9334,0.9336,0.9334,0.9334,0.9322,0.9336,0.9329,0.9364,0.9309,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",422.68
2026-06-08 17:05:45,random_search,70/15/15,SVM,4,3,0.9382,0.9385,0.9382,0.9382,0.937,0.9386,0.9377,0.9433,0.934,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",424.43
2026-06-08 17:25:39,random_search,70/15/15,SVM,5,1,0.938,0.9384,0.938,0.9381,0.9369,0.9385,0.9376,0.9433,0.9337,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",460.63
2026-06-08 17:33:22,random_search,70/15/15,SVM,5,2,0.9397,0.9398,0.9397,0.9397,0.9388,0.9396,0.9392,0.9383,0.9408,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",462.53
2026-06-08 17:42:31,random_search,70/15/15,SVM,5,3,0.9427,0.9429,0.9427,0.9428,0.9417,0.943,0.9423,0.9456,0.9403,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",549.57
2026-06-08 18:04:24,random_search,70/15/15,SVM,6,1,0.9203,0.9207,0.9203,0.9204,0.919,0.9207,0.9197,0.9247,0.9167,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",392.58
2026-06-08 18:10:06,random_search,70/15/15,SVM,6,2,0.9217,0.9218,0.9217,0.9217,0.9205,0.9216,0.921,0.921,0.9222,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",342.21
2026-06-08 18:15:37,random_search,70/15/15,SVM,6,3,0.9272,0.9278,0.9272,0.9273,0.9259,0.928,0.9267,0.9352,0.9207,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",330.84
2026-06-08 18:32:03,random_search,70/15/15,SVM,7,1,0.9371,0.9376,0.9371,0.9371,0.9358,0.9378,0.9366,0.9456,0.93,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",389.09
2026-06-08 18:38:55,random_search,70/15/15,SVM,7,2,0.938,0.9383,0.938,0.9381,0.937,0.9383,0.9376,0.9408,0.9358,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",412.06
2026-06-08 18:45:38,random_search,70/15/15,SVM,7,3,0.9424,0.9429,0.9424,0.9425,0.9412,0.9431,0.942,0.9506,0.9357,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",402.46
2026-06-08 19:03:59,random_search,70/15/15,SVM,8,1,0.9107,0.9117,0.9107,0.9109,0.9093,0.9117,0.9102,0.9221,0.9014,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",307.17
2026-06-08 19:09:41,random_search,70/15/15,SVM,8,2,0.9115,0.9121,0.9115,0.9116,0.9101,0.9121,0.9109,0.9178,0.9063,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",342.46
2026-06-08 19:15:25,random_search,70/15/15,SVM,8,3,0.9162,0.917,0.9162,0.9163,0.9148,0.9171,0.9157,0.926,0.9081,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",343.57
